session_id,session_type,speaker,input_text,emotion,conflict_type,response_type,privacy_level,ai_response,input_output
BM00011,personal,husband,I feel she seems checked out when I try to explain.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I feel she seems checked out when I try to explain. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00012,personal,husband,I feel she seems checked out during serious talks.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I feel she seems checked out during serious talks. || Output: Reflect what you want: understanding first, solutions second."
BM00013,personal,husband,I feel she seems checked out about how I feel.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I feel she seems checked out about how I feel. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00014,personal,husband,I feel she seems checked out when we disagree.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I feel she seems checked out when we disagree. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00015,personal,husband,I feel she seems checked out about us.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I feel she seems checked out about us. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00016,personal,husband,I feel she seems checked out when I open up.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she seems checked out when I open up. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00017,personal,husband,I feel she seems checked out in deeper conversations.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she seems checked out in deeper conversations. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00018,personal,husband,I feel she seems checked out when I need support.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel she seems checked out when I need support. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00019,personal,husband,I feel she seems checked out before I finish my thought.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel she seems checked out before I finish my thought. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00020,personal,husband,I feel she seems checked out when I'm vulnerable.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel she seems checked out when I'm vulnerable. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00021,personal,husband,I feel my words don't seem to land when I try to explain.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel my words don't seem to land when I try to explain. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00022,personal,husband,I feel my words don't seem to land during serious talks.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel my words don't seem to land during serious talks. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00023,personal,husband,I feel my words don't seem to land about how I feel.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel my words don't seem to land about how I feel. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00024,personal,husband,I feel my words don't seem to land when we disagree.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel my words don't seem to land when we disagree. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00025,personal,husband,I feel my words don't seem to land about us.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel my words don't seem to land about us. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
BM00026,personal,husband,I feel my words don't seem to land when I open up.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I feel my words don't seem to land when I open up. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00027,personal,husband,I feel my words don't seem to land in deeper conversations.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I feel my words don't seem to land in deeper conversations. || Output: Reflect what you want: understanding first, solutions second."
BM00028,personal,husband,I feel my words don't seem to land when I need support.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I feel my words don't seem to land when I need support. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00029,personal,husband,I feel my words don't seem to land before I finish my thought.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I feel my words don't seem to land before I finish my thought. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00030,personal,husband,I feel my words don't seem to land when I'm vulnerable.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I feel my words don't seem to land when I'm vulnerable. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00031,personal,husband,I feel I don't feel heard when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel I don't feel heard when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00032,personal,husband,I feel I don't feel heard during serious talks.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel I don't feel heard during serious talks. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00033,personal,husband,I feel I don't feel heard about how I feel.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel I don't feel heard about how I feel. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00034,personal,husband,I feel I don't feel heard when we disagree.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel I don't feel heard when we disagree. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00035,personal,husband,I feel I don't feel heard about us.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel I don't feel heard about us. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00036,personal,husband,I feel I don't feel heard when I open up.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel I don't feel heard when I open up. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00037,personal,husband,I feel I don't feel heard in deeper conversations.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel I don't feel heard in deeper conversations. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00038,personal,husband,I feel I don't feel heard when I need support.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel I don't feel heard when I need support. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00039,personal,husband,I feel I don't feel heard before I finish my thought.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel I don't feel heard before I finish my thought. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00040,personal,husband,I feel I don't feel heard when I'm vulnerable.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel I don't feel heard when I'm vulnerable. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
BM00041,personal,husband,I feel she tunes me out when I try to explain.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I feel she tunes me out when I try to explain. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00042,personal,husband,I feel she tunes me out during serious talks.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I feel she tunes me out during serious talks. || Output: Reflect what you want: understanding first, solutions second."
BM00043,personal,husband,I feel she tunes me out about how I feel.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I feel she tunes me out about how I feel. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00044,personal,husband,I feel she tunes me out when we disagree.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I feel she tunes me out when we disagree. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00045,personal,husband,I feel she tunes me out about us.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I feel she tunes me out about us. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00046,personal,husband,I feel she tunes me out when I open up.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she tunes me out when I open up. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00047,personal,husband,I feel she tunes me out in deeper conversations.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she tunes me out in deeper conversations. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00048,personal,husband,I feel she tunes me out when I need support.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel she tunes me out when I need support. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00049,personal,husband,I feel she tunes me out before I finish my thought.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel she tunes me out before I finish my thought. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00050,personal,husband,I feel she tunes me out when I'm vulnerable.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel she tunes me out when I'm vulnerable. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00051,personal,husband,I feel she interrupts before I'm done when I try to explain.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel she interrupts before I'm done when I try to explain. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00052,personal,husband,I feel she interrupts before I'm done during serious talks.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel she interrupts before I'm done during serious talks. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00053,personal,husband,I feel she interrupts before I'm done about how I feel.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel she interrupts before I'm done about how I feel. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00054,personal,husband,I feel she interrupts before I'm done when we disagree.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel she interrupts before I'm done when we disagree. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00055,personal,husband,I feel she interrupts before I'm done about us.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel she interrupts before I'm done about us. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
BM00056,personal,husband,I feel she interrupts before I'm done when I open up.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I feel she interrupts before I'm done when I open up. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00057,personal,husband,I feel she interrupts before I'm done in deeper conversations.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I feel she interrupts before I'm done in deeper conversations. || Output: Reflect what you want: understanding first, solutions second."
BM00058,personal,husband,I feel she interrupts before I'm done when I need support.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I feel she interrupts before I'm done when I need support. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00059,personal,husband,I feel she interrupts before I'm done before I finish my thought.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I feel she interrupts before I'm done before I finish my thought. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00060,personal,husband,I feel she interrupts before I'm done when I'm vulnerable.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I feel she interrupts before I'm done when I'm vulnerable. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00061,personal,husband,I feel she dismisses what I say when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she dismisses what I say when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00062,personal,husband,I feel she dismisses what I say during serious talks.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she dismisses what I say during serious talks. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00063,personal,husband,I feel she dismisses what I say about how I feel.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel she dismisses what I say about how I feel. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00064,personal,husband,I feel she dismisses what I say when we disagree.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel she dismisses what I say when we disagree. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00065,personal,husband,I feel she dismisses what I say about us.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel she dismisses what I say about us. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00066,personal,husband,I feel she dismisses what I say when I open up.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel she dismisses what I say when I open up. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00067,personal,husband,I feel she dismisses what I say in deeper conversations.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel she dismisses what I say in deeper conversations. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00068,personal,husband,I feel she dismisses what I say when I need support.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel she dismisses what I say when I need support. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00069,personal,husband,I feel she dismisses what I say before I finish my thought.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel she dismisses what I say before I finish my thought. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00070,personal,husband,I feel she dismisses what I say when I'm vulnerable.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel she dismisses what I say when I'm vulnerable. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
BM00071,personal,husband,I feel I can't get through when I try to explain.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I feel I can't get through when I try to explain. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00072,personal,husband,I feel I can't get through during serious talks.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I feel I can't get through during serious talks. || Output: Reflect what you want: understanding first, solutions second."
BM00073,personal,husband,I feel I can't get through about how I feel.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I feel I can't get through about how I feel. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00074,personal,husband,I feel I can't get through when we disagree.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I feel I can't get through when we disagree. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00075,personal,husband,I feel I can't get through about us.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I feel I can't get through about us. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00076,personal,husband,I feel I can't get through when I open up.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel I can't get through when I open up. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00077,personal,husband,I feel I can't get through in deeper conversations.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel I can't get through in deeper conversations. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00078,personal,husband,I feel I can't get through when I need support.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel I can't get through when I need support. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00079,personal,husband,I feel I can't get through before I finish my thought.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel I can't get through before I finish my thought. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00080,personal,husband,I feel I can't get through when I'm vulnerable.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel I can't get through when I'm vulnerable. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00081,personal,husband,I feel she looks away mid-sentence when I try to explain.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel she looks away mid-sentence when I try to explain. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00082,personal,husband,I feel she looks away mid-sentence during serious talks.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel she looks away mid-sentence during serious talks. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00083,personal,husband,I feel she looks away mid-sentence about how I feel.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel she looks away mid-sentence about how I feel. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00084,personal,husband,I feel she looks away mid-sentence when we disagree.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel she looks away mid-sentence when we disagree. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00085,personal,husband,I feel she looks away mid-sentence about us.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel she looks away mid-sentence about us. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
BM00086,personal,husband,I feel she looks away mid-sentence when I open up.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I feel she looks away mid-sentence when I open up. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00087,personal,husband,I feel she looks away mid-sentence in deeper conversations.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I feel she looks away mid-sentence in deeper conversations. || Output: Reflect what you want: understanding first, solutions second."
BM00088,personal,husband,I feel she looks away mid-sentence when I need support.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I feel she looks away mid-sentence when I need support. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00089,personal,husband,I feel she looks away mid-sentence before I finish my thought.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I feel she looks away mid-sentence before I finish my thought. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00090,personal,husband,I feel she looks away mid-sentence when I'm vulnerable.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I feel she looks away mid-sentence when I'm vulnerable. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00091,personal,husband,I feel she changes the subject fast when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she changes the subject fast when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00092,personal,husband,I feel she changes the subject fast during serious talks.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she changes the subject fast during serious talks. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00093,personal,husband,I feel she changes the subject fast about how I feel.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel she changes the subject fast about how I feel. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00094,personal,husband,I feel she changes the subject fast when we disagree.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel she changes the subject fast when we disagree. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00095,personal,husband,I feel she changes the subject fast about us.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel she changes the subject fast about us. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00096,personal,husband,I feel she changes the subject fast when I open up.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel she changes the subject fast when I open up. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00097,personal,husband,I feel she changes the subject fast in deeper conversations.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel she changes the subject fast in deeper conversations. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00098,personal,husband,I feel she changes the subject fast when I need support.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel she changes the subject fast when I need support. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00099,personal,husband,I feel she changes the subject fast before I finish my thought.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel she changes the subject fast before I finish my thought. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00100,personal,husband,I feel she changes the subject fast when I'm vulnerable.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel she changes the subject fast when I'm vulnerable. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
BM00101,personal,husband,I've been feeling she doesn't really listen when I try to explain.,sadness,communication gap,empathy,personal,Pick a calm window. Say you'd like five minutes to finish a thought.,Input: I've been feeling she doesn't really listen when I try to explain. || Output: Pick a calm window. Say you'd like five minutes to finish a thought.
BM00102,personal,husband,I've been feeling she doesn't really listen during serious talks.,sadness,communication gap,empathy,personal,"Reflect what you want: understanding first, solutions second.","Input: I've been feeling she doesn't really listen during serious talks. || Output: Reflect what you want: understanding first, solutions second."
BM00103,personal,husband,I've been feeling she doesn't really listen about how I feel.,sadness,communication gap,empathy,personal,Keep one topic. Avoid blame labels; describe the pattern you notice.,Input: I've been feeling she doesn't really listen about how I feel. || Output: Keep one topic. Avoid blame labels; describe the pattern you notice.
BM00104,personal,husband,I've been feeling she doesn't really listen when we disagree.,sadness,communication gap,empathy,personal,Ask for a repair: a simple apology for the tone can reopen the talk.,Input: I've been feeling she doesn't really listen when we disagree. || Output: Ask for a repair: a simple apology for the tone can reopen the talk.
BM00105,personal,husband,I've been feeling she doesn't really listen about us.,sadness,communication gap,empathy,personal,"If volume rises, suggest a ten-minute break and return with one agenda item.","Input: I've been feeling she doesn't really listen about us. || Output: If volume rises, suggest a ten-minute break and return with one agenda item."
BM00106,personal,husband,I've been feeling she doesn't really listen when I open up.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I've been feeling she doesn't really listen when I open up. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00107,personal,husband,I've been feeling she doesn't really listen in deeper conversations.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I've been feeling she doesn't really listen in deeper conversations. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00108,personal,husband,I've been feeling she doesn't really listen when I need support.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I've been feeling she doesn't really listen when I need support. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00109,personal,husband,I've been feeling she doesn't really listen before I finish my thought.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I've been feeling she doesn't really listen before I finish my thought. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00110,personal,husband,I've been feeling she doesn't really listen when I'm vulnerable.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I've been feeling she doesn't really listen when I'm vulnerable. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00111,personal,husband,I've been feeling she seems checked out when I try to explain.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I've been feeling she seems checked out when I try to explain. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00112,personal,husband,I've been feeling she seems checked out during serious talks.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I've been feeling she seems checked out during serious talks. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00113,personal,husband,I've been feeling she seems checked out about how I feel.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I've been feeling she seems checked out about how I feel. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00114,personal,husband,I've been feeling she seems checked out when we disagree.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I've been feeling she seems checked out when we disagree. || Output: Pause the spiral. Say you want to feel understood before solving.
