session_id,session_type,speaker,input_text,emotion,conflict_type,response_type,privacy_level,ai_response,input_output
BM00017,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00018,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00019,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00020,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00021,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00022,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00023,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00024,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00025,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00026,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00027,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00028,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00029,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00030,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00031,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00032,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00033,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00034,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00035,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00036,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00037,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00038,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00039,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00040,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00041,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00042,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00043,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00044,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00045,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00046,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00047,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00048,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00049,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00050,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00051,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00052,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00053,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00054,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00055,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00056,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00057,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00058,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00059,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00060,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00061,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00062,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00063,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00064,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00065,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00066,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00067,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00068,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00069,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00070,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00071,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00072,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00073,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00074,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00075,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00076,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00077,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00078,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00079,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00080,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00081,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00082,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00083,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00084,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00085,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00086,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00087,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00088,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00089,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00090,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00091,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00092,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00093,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00094,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00095,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00096,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00097,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00098,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00099,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00100,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00101,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00102,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00103,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00104,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00105,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00106,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00107,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00108,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00109,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00110,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00111,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00112,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00113,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00114,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00115,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00116,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00117,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00118,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00119,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00120,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00121,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00122,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00123,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00124,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00125,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00126,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00127,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00128,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00129,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00130,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00131,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00132,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
